card_id_a,card_id_b,card_id_c,image_id,location_id,description,street_number,street,city,county,latitude,longitude,notes
D32,2958,2,1,1,Tampa City Hall,315,East Kennedy Boulevad,Tampa,Hillsborough,27.9477731,-82.464022,formerly located on the corner of Lafeyette and Florida Street.
D32,2959,1,1,1,U.S. Post Office,,,Tampa,Hillsborough,27.890435,-82.464022,Unsure of exact location of old Post Office building
D32,2959,2,1,1,U.S. Post Office,,,Tampa,Hillsborough,27.890435,-82.464022,Unsure of exact location of old Post Office building
D32,2960,0,1,1,Franklin Street,,Franklin Street,Tampa,Hillsborough,27.951315,-82.464022,
D32,2961,0,1,1,The Lumber Fleet,,,Tampa,Hillsborough,,-82.464022,
D32,2962,0,1,1,Ballast Point,,,Tampa,Hillsborough,27.88865,-82.572724,Current day Courtney Campbell Causeway
D32,2963,0,1,1,Port Tampa Dock,,,Tampa,Hillsborough,27.953431,-82.572724,Current day Courtney Campbell Causeway
D32,2964,0,1,1,Franklin Street,,Franklin Street,Tampa,Hillsborough,27.951315,-82.572724,Current day Courtney Campbell Causeway
D32,2965,0,1,1,Skyline of Tampa,,,Tampa,Hillsborough,27.949364,-82.572724,Current day Courtney Campbell Causeway
D32,2966,0,1,1,John F. Kennedy Memorial,,,Tampa,Hillsborough,,-82.5550786,Current day Rocky Point Golf Course
D32,2967,0,1,1,Picnic Area,,Courtney Campbell Causeway,Tampa,Hillsborough,27.962357,-82.4562914,Unknown location
D32,2968,0,1,1,Seminole Heights United Methodist Church,6111,Central Avenue,Tampa,Hillsborough,28.003044,-82.459741,Exact location unverified
D32,2969,0,1,1,Plant City High School,,,Tampa,Hillsborough,28.019167,-82.545937,
D32,2970,0,1,1,MacDill Air Force Base,,,Tampa,Hillsborough,27.849444,-82.458393,Exact location unverified
D32,2971,0,1,1,Florida Fairgrounds,,,Tampa,Hillsborough,27.990222,-82.464022,
D32,2972,0,1,1,Florida Fairgrounds,,,Tampa,Hillsborough,27.990222,-82.457739,
D32,2973,1,1,1,Gasparilla,,,Tampa,Hillsborough,,-82.464022,
D32,2973,2,1,1,Gasparilla,,,Tampa,Hillsborough,,-82.464022,
D32,2973,3,1,1,Gasparilla,,,Tampa,Hillsborough,,-82.464022,
D32,2973,4,1,1,Gasparilla,,,Tampa,Hillsborough,,-82.464022,
D32,2974,1,1,1,Gasparilla Children's Parade,,,Tampa,Hillsborough,,-82.464022,
D32,2974,2,1,1,Gasparilla Children's Parade,,,Tampa,Hillsborough,,-82.464022,
D32,2974,3,1,1,Gasparilla Children's Parade,,,Tampa,Hillsborough,,-82.464022,
D32,2975,0,1,1,University of Tampa,,,Tampa,Hillsborough,27.947545,-82.464022,
D32,2976,0,1,1,Hillsborough High School,,,Tampa,Hillsborough,27.991409,-82.464022,
D32,2977,0,1,1,Tampa International Airport,,,Tampa,Hillsborough,27.982087,-82.5130815,
D32,2978,0,1,1,Creighton Bros. Awning Co.,701,East Platt Street,Tampa,Hillsborough,27.941872,-82.45765,
D32,2979,0,1,1,Fulghum's Office Furniture,608-10,Florida Avenue,Tampa,Hillsborough,27.942406,-82.4594572,
D32,2980,0,1,1,Joe Sweeny's Hobby Grove Gardens and Palm Terrace,,US South 41,Tampa,Hillsborough,,-82.4594572,Formerly located 18 miles north of Tampa on U.S. 41
D32,2980,0,2,1,Joe Sweeny's Hobby Grove Gardens and Palm Terrace,,US South 41,Tampa,Hillsborough,,-82.4594572,Formerly located 18 miles north of Tampa on U.S. 41
D32,2980,0,3,1,Joe Sweeny's Hobby Grove Gardens and Palm Terrace,,US South 41,Tampa,Hillsborough,,-82.4575,Formerly located 18 miles north of Tampa on U.S. 41
D32,2981,0,1,1,Tampa Federal Savings and Loan Association,,,Tampa,Hillsborough,27.94355,-82.4575,Formerly located on Florida Ave
D32,2982,0,1,1,JG Furniture Inc,2101,Grand Central Avenue,Tampa,Hillsborough,27.944698,-82.4575,Formerly located on 2101 Grand Central Ave.
D32,2983,0,1,1,Brandon Swim and Tennis Club,,,Tampa,Hillsborough,27.932493,-82.4589287,
D32,2984,0,1,1,Tony Janis Park,,Bayshore Boulevard,Tampa,Hillsborough,,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,2985,0,1,1,The Ybor City Square Arcade,,,Tampa,Hillsborough,27.9616,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,2986,0,1,1,Bayshore Boulevard,,Bayshore Boulevard,Tampa,Hillsborough,27.930411,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,2987,0,1,1,University of Tampa,,,Tampa,Hillsborough,27.947545,-82.455556,
D32,2988,1,1,1,Gasparilla Invasion,,,Tampa,Hillsborough,,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,2988,2,1,1,Gasparilla Invasion,,,Tampa,Hillsborough,,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,2989,0,1,1,Ybor City,,,Tampa,Hillsborough,27.9607,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,2989,0,2,1,Ybor City,,,Tampa,Hillsborough,27.9607,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,2989,0,3,1,Ybor City,,,Tampa,Hillsborough,27.9607,-82.464194,
D32,2989,0,4,1,Ybor City,,,Tampa,Hillsborough,27.9607,-82.46269,
D32,2990,0,1,1,University of Tampa,,,Tampa,Hillsborough,27.947545,-82.46269,
D32,2991,0,1,1,Colonnade Restaurant,3401,Bayshore Boulevard,Tampa,Hillsborough,27.91229,-82.46269,
D32,2992,1,1,1,The Brandon Homestead,,,Tampa,Hillsborough,27.937238,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,2992,2,1,1,The Brandon Homestead,,,Tampa,Hillsborough,27.937238,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,2992,3,1,1,The Brandon Homestead,,,Tampa,Hillsborough,27.937238,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,2992,4,1,1,The Brandon Homestead,,,Tampa,Hillsborough,27.937238,-82.4565813,formerly located on the corner of Lafeyette and Florida Street.
D32,2992,5,1,1,The Brandon Homestead,,,Tampa,Hillsborough,27.937238,-82.4565813,formerly located on the corner of Lafeyette and Florida Street.
D32,2992,6,1,1,The Brandon Homestead,,,Tampa,Hillsborough,27.937238,-82.5344976,
D32,2992,7,1,1,The Brandon Homestead,,,Tampa,Hillsborough,27.937238,-82.464022,
D32,2993,0,1,1,Jose Gaspar Pirate Ship by Curtis Hixon Hall,,,Tampa,Hillsborough,,-82.464022,
D32,2994,0,1,1,Barracks at Drew Field,,,Tampa,Hillsborough,27.975556,-82.464022,
D32,2995,0,1,1,"Tampa, FL",,,Tampa,Hillsborough,27.968056,-82.4569761,Demolished
D32,2996,0,1,1,Munincipal Auditorium,,,Tampa,Hillsborough,,-82.4569761,Demolished
D32,2997,0,1,1,MacDill Air Force Base,,,Tampa,Hillsborough,27.849444,-82.464194,
D32,2998,1,1,1,Officers Club at MacDill Air Force Base,,,Tampa,Hillsborough,27.849444,-82.457219,
D32,2998,2,1,1,Officers Club at MacDill Air Force Base,,,Tampa,Hillsborough,27.849444,-82.457219,
D32,2999,0,1,1,Post Office and Custom House,,,Tampa,Hillsborough,27.949722,-82.4565813,
D32,3000,0,1,1,Post Office,,,Tampa,Hillsborough,,-82.462811,
D32,3001,0,1,1,Gasparilla Parade,,,Tampa,Hillsborough,27.949364,-82.475473,
D32,3002,1,1,1,University of Tampa,,,Tampa,Hillsborough,27.947545,-82.475473,
